iter	Passed	Remaining
0	2	264
1	4	204
2	5	182
3	6	161
4	8	154
5	9	147
6	11	151
7	12	148
8	14	143
9	15	142
10	17	140
11	18	137
12	20	135
13	21	134
14	23	131
15	25	131
16	26	129
17	28	128
18	29	126
19	31	124
20	32	122
21	34	120
22	35	118
23	36	116
24	38	114
25	39	112
26	40	110
27	42	108
28	43	106
29	44	104
30	46	102
31	47	100
32	48	98
33	49	96
34	51	95
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	58	84
41	59	81
42	60	80
43	61	78
44	62	76
45	63	74
46	64	73
47	66	71
48	67	69
49	68	68
50	69	67
51	70	65
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	78	56
58	79	55
59	80	53
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	42
69	95	40
70	96	39
71	97	38
72	99	36
73	100	35
74	101	33
75	102	32
76	103	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	114	18
86	116	17
87	117	15
88	118	14
89	119	13
90	120	11
91	121	10
92	122	9
93	124	7
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	133	0
